2015-07-16 21:27:27,154 |main                 |ComponentContainer            |I| Loading component : [elpi]
2015-07-16 21:27:27,170 |main                 |ComponentContainer            |I| Loading component : [frontend]
2015-07-16 21:27:27,179 |main                 |ComponentContainer            |I| All components loaded
2015-07-16 21:27:27,180 |main                 |ContainerLoader               |I| Loaded container: component-container
2015-07-16 21:27:27,182 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2015-07-16 21:27:27,229 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2015-07-16 21:27:27,229 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2015-07-16 21:27:27,230 |main                 |ContainerLoader               |I| Loading component's container: naming-container
2015-07-16 21:27:27,232 |main                 |ContainerLoader               |I| Loaded component's container: naming-container
2015-07-16 21:27:27,232 |main                 |ContainerLoader               |I| Loading component's container: service-container
2015-07-16 21:27:27,237 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2015-07-16 21:27:27,238 |main                 |ContainerLoader               |I| Loading component's container: rmi-dispatcher
2015-07-16 21:27:27,240 |main                 |ContainerLoader               |I| Loaded component's container: rmi-dispatcher
2015-07-16 21:27:27,240 |main                 |ContainerLoader               |I| Loading component's container: catalina-container
2015-07-16 21:27:27,276 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2015-07-16 21:27:28,675 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2015-07-16 21:27:28,675 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2015-07-16 21:27:28,675 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2015-07-16 21:27:28,675 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2015-07-16 21:27:28,682 |main                 |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2015-07-16 21:27:28,690 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2015-07-16 21:27:28,690 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2015-07-16 21:27:28,699 |main                 |ModelViewEntity               |E| [OfferAndDropShipmentOrderItems]: [ModelViewEntity.populateFields] ERROR: could not find ModelField for entity name: OrderItemShipGroupAssoc and field: statusId
2015-07-16 21:27:28,699 |main                 |ModelViewEntity               |E| [OfferAndDropShipmentOrderItems]: [populateFields] ERROR: could not find ModelField for field name "statusId" on entity with name: OrderItemShipGroupAssoc
2015-07-16 21:27:28,842 |main                 |ModelReader                   |I| FINISHED LOADING ENTITIES - ALL FILES; #Entities=874 #ViewEntities=273 #Fields=9036 #Relationships=2950 #AutoRelationships=2192
2015-07-16 21:27:28,854 |main                 |GenericDelegator              |I| Doing entity definition check...
2015-07-16 21:27:28,858 |main                 |ModelEntityChecker            |I| [initReservedWords] array length=1025
2015-07-16 21:27:29,294 |main                 |GenericDelegator              |W| =-=-=-=-= Found 31 warnings when checking the entity definitions:
2015-07-16 21:27:29,294 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named eventElpiUserCreatorFk (length:22) was greater than 18 characters in length for relation UserElpi of entity EventElpi.
2015-07-16 21:27:29,294 |main                 |GenericDelegator              |W| [RelationNameNotUnique] Relation UserElpi of entity EventElpi is not unique for that entity.
2015-07-16 21:27:29,295 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named eventElpiUserAssociatedFk (length:25) was greater than 18 characters in length for relation UserElpi of entity EventElpi.
2015-07-16 21:27:29,295 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named knowledgeElpiKnowledgeTypeFk (length:28) was greater than 18 characters in length for relation KnowledgeElpiType of entity KnowledgeElpi.
2015-07-16 21:27:29,295 |main                 |GenericDelegator              |W| [RelationNameNotUnique] Relation KnowledgeElpiType of entity KnowledgeElpi is not unique for that entity.
2015-07-16 21:27:29,295 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named knowledgeElpiKeywordFk (length:22) was greater than 18 characters in length for relation KnowledgeElpiType of entity KnowledgeElpi.
2015-07-16 21:27:29,296 |main                 |GenericDelegator              |W| [RelationOneRelatedPrimaryKeyMissing] The primary key "knowledgeElpiTypeId" of related entity KnowledgeElpiType is missing in the keymaps for relation of type one KnowledgeElpiType of entity KnowledgeElpi.
2015-07-16 21:27:29,296 |main                 |GenericDelegator              |W| [RelationRelatedFieldNotFound] The field "keywordElpiId" of related entity KnowledgeElpiType was specified in the keymaps but is not found for relation KnowledgeElpiType of entity KnowledgeElpi.
2015-07-16 21:27:29,296 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named knowledgeElpiUrlKnowledgeFk (length:27) was greater than 18 characters in length for relation KnowledgeElpi of entity KnowledgeElpiUrl.
2015-07-16 21:27:29,296 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named moduleElpiProductFk (length:19) was greater than 18 characters in length for relation ProductElpi of entity ModuleElpi.
2015-07-16 21:27:29,297 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named productElpiProductTypeFk (length:24) was greater than 18 characters in length for relation ProductElpiType of entity ProductElpi.
2015-07-16 21:27:29,297 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named productElpiModuleDefaultFk (length:26) was greater than 18 characters in length for relation ModuleElpi of entity ProductElpi.
2015-07-16 21:27:29,297 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named eventElpiAttachementRel (length:23) was greater than 18 characters in length for relation EventElpi of entity RelElpiEventAttachement.
2015-07-16 21:27:29,297 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named attachementElpiEventRel (length:23) was greater than 18 characters in length for relation AttachementElpi of entity RelElpiEventAttachement.
2015-07-16 21:27:29,297 |main                 |GenericDelegator              |W| [FieldNameGT30] Column name [REL_ELPI_KNOWLEDGE_ATTACHEMENT_ID] of entity RelElpiKnowledgeAttachement is longer than 30 characters.
2015-07-16 21:27:29,298 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named knowledgeElpiAttachementRelFk (length:29) was greater than 18 characters in length for relation KnowledgeElpi of entity RelElpiKnowledgeAttachement.
2015-07-16 21:27:29,298 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named attachementElpiKnowledgeRelFkFk (length:31) was greater than 18 characters in length for relation AttachementElpi of entity RelElpiKnowledgeAttachement.
2015-07-16 21:27:29,298 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named productElpiRelKnowledgeFk (length:25) was greater than 18 characters in length for relation KnowledgeElpi of entity RelElpiKnowledgeProduct.
2015-07-16 21:27:29,298 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named knowledgeElpiRelProductFk (length:25) was greater than 18 characters in length for relation ProductElpi of entity RelElpiKnowledgeProduct.
2015-07-16 21:27:29,298 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiKeywordRelFk (length:22) was greater than 18 characters in length for relation TicketElpi of entity RelElpiTicketKeyword.
2015-07-16 21:27:29,299 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named keywordElpiTicketRelFk (length:22) was greater than 18 characters in length for relation KeywordElpi of entity RelElpiTicketKeyword.
2015-07-16 21:27:29,299 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiUserInChargeFk (length:24) was greater than 18 characters in length for relation UserElpi of entity TicketElpi.
2015-07-16 21:27:29,299 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiTicketTypeFk (length:22) was greater than 18 characters in length for relation TicketElpiType of entity TicketElpi.
2015-07-16 21:27:29,299 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiTicketStatusFk (length:24) was greater than 18 characters in length for relation TicketElpiStatus of entity TicketElpi.
2015-07-16 21:27:29,299 |main                 |GenericDelegator              |W| [TableNameRW] Table name [INTERFACE] of entity Interface is a reserved word.
2015-07-16 21:27:29,299 |main                 |GenericDelegator              |W| [FieldNameRW] Column name NAME of entity Interface is a reserved word.
2015-07-16 21:27:29,300 |main                 |GenericDelegator              |W| [FieldNameRW] Column name MODE of entity InterfaceLog is a reserved word.
2015-07-16 21:27:29,300 |main                 |GenericDelegator              |W| [IndexNameGT18] The index name PROD_FEATURE_CAT_DESC (length:21) was greater than 18 characters in length for entity ProductFeatureCategory.
2015-07-16 21:27:29,300 |main                 |GenericDelegator              |W| [FieldNameGT30] Column name [PRODUCT_OFFER_ADJUSTMENT_TYPE_ID] of entity ProductOfferAdjustment is longer than 30 characters.
2015-07-16 21:27:29,300 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODOFFER (length:24) was greater than 18 characters in length for relation ProductOffer of entity ProductProductOffer.
2015-07-16 21:27:29,300 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODUCT (length:22) was greater than 18 characters in length for relation Product of entity ProductProductOffer.
2015-07-16 21:27:29,314 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localpostolap" for entity group "org.ofbiz.olap".
2015-07-16 21:27:29,314 |OFBiz-config-1       |GenericDelegator              |I| Delegator "default" initializing helper "localposttenant" for entity group "org.ofbiz.tenant".
2015-07-16 21:27:29,315 |OFBiz-config-2       |GenericDelegator              |I| Delegator "default" initializing helper "localpostnew" for entity group "org.ofbiz".
2015-07-16 21:27:29,324 |OFBiz-config-1       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-16 21:27:29,324 |OFBiz-config-2       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-16 21:27:29,324 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-16 21:27:29,565 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-16 21:27:29,565 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-16 21:27:29,565 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-16 21:27:29,565 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-16 21:27:29,565 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-16 21:27:29,566 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
